year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","144740","DePaul University","IL","10","60200","49800","","53300","","32800","76600","","54900","59900","64000","","58400","65800","54300","68100"
"2014","144740","DePaul University","IL","8","52800","39100","","47200","","30300","67800","","","","","","","","",""
"2014","144740","DePaul University","IL","6","46000","33500","","42100","","26800","59700","","43000","45700","48200","","43600","53500","43000","49700"
"2014","482477","DeVry University-Illinois","IL","10","50300","37800","","44100","","25600","67500","","41700","52500","63600","","47100","52400","42500","54600"
"2014","482477","DeVry University-Illinois","IL","8","43200","32000","","37900","","21600","57600","","","","","","","","",""
"2014","482477","DeVry University-Illinois","IL","6","37600","28600","","32600","","18100","50700","","29700","41500","50900","","32100","40000","32900","40700"
"2014","148496","Dominican University","IL","10","49900","31700","","47100","","28300","65100","","45700","50200","52600","","49800","50600","46300","57300"
"2014","148496","Dominican University","IL","8","44400","28300","","41700","","27900","55900","","","","","","","","",""
"2014","148496","Dominican University","IL","6","39000","22900","","35800","","23600","49100","","37000","37800","41000","","38400","43400","37000","43300"
"2014","144883","East-West University","IL","10","29000","21100","","25700","","13900","39200","","26600","Suppressed data","Suppressed data","","28300","30100","27200","32400"
"2014","144883","East-West University","IL","8","25300","16700","","22500","","13500","34600","","","","","","","","",""
"2014","144883","East-West University","IL","6","22500","15800","","18700","","11700","30500","","20700","Suppressed data","Suppressed data","","21000","24400","21700","23800"
"2014","144892","Eastern Illinois University","IL","10","46000","27900","","42200","","29200","57200","","43300","44800","47800","","46600","42700","40400","53700"
"2014","144892","Eastern Illinois University","IL","8","40900","24900","","38100","","25600","52000","","","","","","","","",""
"2014","144892","Eastern Illinois University","IL","6","35500","19800","","34400","","22300","45800","","31700","35300","37600","","35500","35600","33600","38000"
"2014","144962","Elmhurst College","IL","10","51600","31200","","48300","","32200","66500","","43800","52900","54100","","52500","49100","48000","57500"
"2014","144962","Elmhurst College","IL","8","46800","29100","","43200","","28000","60200","","","","","","","","",""
"2014","144962","Elmhurst College","IL","6","42700","24500","","40300","","27100","54000","","39900","43200","43600","","41800","47000","41400","44800"
"2014","144971","Eureka College","IL","10","40500","30400","","36000","","24200","48900","","41600","41000","39600","","Suppressed data","Suppressed data","34800","45700"
"2014","144971","Eureka College","IL","8","37500","24000","","36100","","24100","48200","","","","","","","","",""
"2014","144971","Eureka College","IL","6","33200","22500","","31400","","19000","40800","","26300","33700","36000","","32700","35100","29300","37800"
"2014","145275","Garrett-Evangelical Theological Seminary","IL","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","145275","Garrett-Evangelical Theological Seminary","IL","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","145275","Garrett-Evangelical Theological Seminary","IL","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","145336","Governors State University","IL","10","44000","27400","","40800","","23200","58600","","40400","47000","48000","","46000","43400","41200","52900"
